accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
BML2069494,BML00594;BML00589;BML00599,65243,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,5.383,min,SQOJOAFXDQDRGF-UHFFFAOYSA-N,[M-H]-
BML1387055,BML01239,68230,CC1(C=CC2=C(O1)C3=CC=CC=C3NC2=O)C,8.373,min,PXNMNABLQWUMCX-UHFFFAOYSA-N,[M-H]-
BML5717639,BML01412;BML01418;BML01406,75409,CC1=CC(=O)OC2=C1C=C(C=C2)O,4.852,min,IRUHWRSITUYICV-UHFFFAOYSA-N,[M-H]-
BML3235158,BML00218;BML00205;BML00231,92207,COC1=C(C=C2C(=C1)[C@H]3[C@@H](CO2)OC4=C(C3=O)C=CC5=C4C[C@@H](O5)C(=C)CO)OC,8.024,min,ZJMLELXRQUXRIU-HBGVWJBISA-N,[M-H]-
BML9720465,BML00587;BML00592;BML00597,92766,COC(=O)[C@@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,4.181,min,BLGXFZZNTVWLAY-DKJBZYCGSA-N,[M-H]-
BML9752541,BML01583;BML01576;BML01569,94937,C1=CC2=C(C=C1F)NC=C2CC(C(=O)O)N,1.636,min,YMEXGEAJNZRQEH-UHFFFAOYSA-N,[M-H]-
BML6845922,BML01413;BML01407;BML01419,95501,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=C4C=CC(=C5)OC,5.606,min,KXEMQEGRZWUKJS-UHFFFAOYSA-N,[M-H]-
BML5350074,BML01408;BML01420;BML01414,97143,COC1=C(C=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O)OC,8.963,min,BXLAVJWSFYZDPF-UHFFFAOYSA-N,[M-H]-
BML9557685,BML00564;BML00557;BML00549,99114,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)C)C)O,5.595,min,YMUOZXZDDBRJEP-UHFFFAOYSA-N,[M-H]-
BML2747646,BML00768;BML00773;BML00778,107982,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,9.386,min,XJQPQKLURWNAAH-UHFFFAOYSA-N,[M-H]-
BML9446449,BML01737;BML01730,108712,CN1C2=C(C(=O)N(C(=O)N2)C)NC1=O,1.807,min,UARKDOLETOEBCU-UHFFFAOYSA-N,[M-H]-
BML2337876,BML00627;BML00631,115221,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,5.255,min,FPUXKXIZEIDQKW-UHFFFAOYSA-N,[M-H]-
BML7087861,BML00735;BML00742;BML00728,119034,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,10.157,min,JXSVIVRDWWRQRT-UYDOISQJSA-N,[M-H]-
BML2199098,BML01739;BML01732;BML01746,119836,C1=CC2=C(C=CC(=C2)Br)C=C1OC3C(C(C(C(O3)CO)O)O)O,5.835,min,NLRXQZJJCPRATR-UHFFFAOYSA-N,[M-H]-
BML0100463,BML01733;BML01747;BML01740,165506,C1C(OC2=CC=CC=C2C1=O)C3=CC=C(C=C3)O,7.143,min,ZLHVIYHWWQYJID-UHFFFAOYSA-N,[M-H]-
BML9898432,BML01443,236184,C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O,1.668,min,WOVKYSAHUYNSMH-UHFFFAOYSA-N,[M-H]-
BML5460503,BML00892;BML00902;BML00897,238782,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,7.859,min,URFCJEUYXNAHFI-UHFFFAOYSA-N,[M-H]-
BML6947112,BML01685;BML01675,250399,C1=CC=C2C=C(C=CC2=C1)CC(C(=O)O)N,3.443,min,JPZXHKDZASGCLU-UHFFFAOYSA-N,[M-H]-
BML9100400,BML01784,262543,CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,0.39,min,ZAYHVCMSTBRABG-UHFFFAOYSA-N,[M-H]-
BML6920386,BML01461;BML01447;BML01454,264006,C=CCNC1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O,3.8,min,WTYYPLSFICPDGL-UHFFFAOYSA-N,[M-H]-
BML5141562,BML00437,279063,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N,0.361,min,BBDAGFIXKZCXAH-UHFFFAOYSA-N,[M-H]-
BML8399758,BML00514;BML00506;BML00498,287291,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,6.45,min,JLIDBLDQVAYHNE-UHFFFAOYSA-N,[M-H]-
BML0058912,BML01442;BML01449,301382,COC1C(C(OC1N2C=CC(=NC2=O)N)CO)O,0.384,min,RFCQJGFZUQFYRF-UHFFFAOYSA-N,[M-H]-
BML2598653,BML01509;BML01517,333506,CC(C)(C)OC(=O)NC(CC1=CN=CN1)C(=O)O,2.034,min,AYMLQYFMYHISQO-UHFFFAOYSA-N,[M-H]-
BML0064250,BML01516;BML01508,435727,C1=C(NC=N1)CC(C(=O)NC(CO)C(=O)O)N,0.314,min,KRBMQYPTDYSENE-UHFFFAOYSA-N,[M-H]-
BML4523089,BML00895;BML00890;BML00900,449093,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO,3.241,min,UZKQTCBAMSWPJD-FARCUNLSSA-N,[M-H]-
BML1718501,BML01105;BML01099;BML01111,500165,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,11.556,min,SMEROWZSTRWXGI-UHFFFAOYSA-N,[M-H]-
BML9309883,BML00513;BML00497;BML00505,522636,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,4.73,min,IXORZMNAPKEEDV-UHFFFAOYSA-N,[M-H]-
