accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EQ792694,EQ365958;EQ365956;EQ365953;EQ365954;EQ365959;EQ365951;EQ365952;EQ365957;EQ365955,35802,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,8.1,min,CPEUVMUXAHMANV-UHFFFAOYSA-N,[M-H]-
EQ619937,EQ009154;EQ009159;EQ009152;EQ009151;EQ009157;EQ009153;EQ009155;EQ009158;EQ009156,37208,C1=CC=C(C=C1)C(=O)NC(C(Cl)Cl)O,7.3,min,MLVRDFMUHOFHEN-UHFFFAOYSA-N,[M-H]-
EQ664654,EQ368556;EQ368557;EQ368553;EQ368555;EQ368551;EQ368554;EQ368558;EQ368559;EQ368552,38081,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,11.0,min,NOOCSNJCXJYGPE-UHFFFAOYSA-N,[M-H]-
EQ362794,EQ321157;EQ321158;EQ321154;EQ321152;EQ321153;EQ321155;EQ321151;EQ321159;EQ321156,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,14.2,min,NQPDXQQQCQDHHW-UHFFFAOYSA-N,[M-H]-
EQ108575,EQ356252;EQ356254;EQ356255;EQ356253;EQ356259;EQ356257;EQ356258;EQ356251;EQ356256,50895,CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl,13.6,min,GOCUAJYOYBLQRH-UHFFFAOYSA-N,[M-H]-
EQ597127,EQ364756;EQ364759;EQ364752;EQ364758;EQ364754;EQ364751;EQ364755;EQ364753;EQ364757,53174,CCCS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC,5.7,min,CLSJYOLYMZNKJB-UHFFFAOYSA-N,[M-H]-
EQ845559,EQ371158;EQ371154;EQ371153;EQ371155;EQ371152;EQ371156;EQ371157;EQ371151,54739,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,7.0,min,CABMTIJINOIHOD-UHFFFAOYSA-N,[M-H]-
EQ687486,EQ367551;EQ367552;EQ367556;EQ367557;EQ367554;EQ367558;EQ367553;EQ367555;EQ367559,67815,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,7.8,min,JGTNAGYHADQMCM-UHFFFAOYSA-N,[M-H]-
EQ443689,EQ318451;EQ318453;EQ318459;EQ318452;EQ318456;EQ318457;EQ318455;EQ318458;EQ318454,72917,C1=CC2=NNN=C2C=C1C(=O)O,3.8,min,GUOVBFFLXKJFEE-UHFFFAOYSA-N,[M-H]-
EQ692289,EQ360252;EQ360256;EQ360254;EQ360253;EQ360258;EQ360255;EQ360251;EQ360259;EQ360257,73672,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,10.6,min,PMHURSZHKKJGBM-UHFFFAOYSA-N,[M-H]-
EQ362616,EQ289955;EQ289954;EQ289957;EQ289956;EQ289951;EQ289952;EQ289959;EQ289958;EQ289953,75771,C1=CC=C2C(=C1)N=NN2O,3.0,min,ASOKPJOREAFHNY-UHFFFAOYSA-N,[M-H]-
EQ016475,EQ348856;EQ348852;EQ348859;EQ348858;EQ348853;EQ348857;EQ348851;EQ348855;EQ348854,84098,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,8.6,min,OYIKARCXOQLFHF-UHFFFAOYSA-N,[M-H]-
EQ544099,EQ320951;EQ320957;EQ320959;EQ320952;EQ320954;EQ320956;EQ320953;EQ320958;EQ320955,86369,CC1=NN(C(=O)N1C(F)F)C2=CC(=C(C=C2Cl)Cl)NS(=O)(=O)C,7.5,min,OORLZFUTLGXMEF-UHFFFAOYSA-N,[M-H]-
EQ971881,EQ369459;EQ369452;EQ369451;EQ369457;EQ369454;EQ369456;EQ369453;EQ369455;EQ369458,88761,C1=CC=C2C(=C1)N=NN2Cl,6.3,min,INOGLHRUEYDAHX-UHFFFAOYSA-N,[M-H]-
