accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
PR276549,PR306531;PR306526;PR306502;PR306497;PR306512;PR306493;PR306541;PR306507;PR306546;PR306516;PR306521;PR306536;PR308798,10621,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,4.49,min,QUQPHWDTPGMPEX-QJBIFVCTSA-N
PR761449,PR309390,10772,COC1=CC2=C(C=C1)NC(=O)O2,3.98,min,MKMCJLMBVKHUMS-UHFFFAOYSA-N
PR748155,PR306207;PR306157;PR306192;PR306177;PR306152;PR306202;PR309310;PR306187;PR306162;PR306167;PR306197;PR306182;PR306172,11095,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,5.34,min,SBHXYTNGIZCORC-UHFFFAOYSA-N
PR147035,PR305601;PR305570;PR309367;PR305589;PR305577;PR305625;PR305618;PR305595;PR305583;PR305613;PR305564,11496,C1=CC(=CC(=C1)O)C=CC(=O)O,4.405233,min,KKSDGJDHHZEWEP-UHFFFAOYSA-N
PR518841,PR307173;PR307200;PR307181;PR307192;PR307188;PR307185;PR307212;PR307196;PR308766;PR307204;PR307208;PR307177,11620,CS(=O)C=CCCN=C=S,3.786567,min,QKGJFQMGPDVOQE-UHFFFAOYSA-N
PR178943,PR305755;PR305722;PR308809;PR305749;PR305694;PR305701;PR305735;PR305769;PR305762;PR305708;PR305742;PR305715;PR305728,13245,COC1=CC=C(C=C1)C=CC(=O)O,5.855383,min,AFDXODALSZRGIH-UHFFFAOYSA-N
PR689817,PR309104,15868,CCCCCCCCC1C(O1)CCCCCCCC(=O)O,10.3,min,IMYZYCNQZDBZBQ-UHFFFAOYSA-N
PR519660,PR306035;PR308804;PR306017;PR306058;PR306047;PR306029;PR306070;PR306011;PR306023;PR306041;PR306064,16848,COC1=C(C=C(C=C1)C=CC(=O)O)OC,5.186817,min,HJBWJAPEBGSQPR-UHFFFAOYSA-N
PR958558,PR308202;PR308760;PR308183;PR308200;PR308191;PR308187;PR308196;PR308198;PR308181;PR308185;PR308193;PR308189,17198,CC(=O)C1=CC(=C(C(=C1)OC)O)OC,4.32835,min,OJOBTAOGJIWAGB-UHFFFAOYSA-N
PR609307,PR305825;PR305788;PR305807;PR305832;PR305776;PR305783;PR308802;PR305801,26862,COC1=CC=CC=C1C=CC(=O)O,6.11525,min,FEGVSPGUHMGGBO-UHFFFAOYSA-N
