accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
BS422937,BS003360;BS003363;BS003362,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,588.6,sec,IYRMWMYZSQPJKC-UHFFFAOYSA-N
BS171117,BS003973;BS003975;BS003974,5280933,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,1693.2,sec,VZCCETWTMQHEPK-QNEBEIHSSA-N
BS375269,BS001069;BS001072;BS001071,5280934,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,1672.2,sec,DTOSIQBPPRVQHS-PDBXOOCHSA-N
BS104106,BS003060;BS003058;BS003059,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,563.4,sec,TZBJGXHYKVUXJN-UHFFFAOYSA-N
BS173023,BS004000;BS003998;BS003997,5281127,CCCCCC/C=C/CCCCCCCCCC(=O)O,1902.6,sec,UWHZIFQPPBDJPM-BQYQJAHWSA-N
BS599951,BS003066;BS003065;BS003061;BS003062;BS003064,5281377,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,324.0,sec,ZCOLJUOHXJRHDI-CMWLGVBASA-N
BS114240,BS003403;BS003401;BS003400,5281426,C1=CC(=CC2=C1C=CC(=O)O2)O,235.8,sec,ORHBXUUXSCNDEV-UHFFFAOYSA-N
BS342885,BS003250;BS003247,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O,685.8,sec,FXNFHKRTJBSTCS-UHFFFAOYSA-N
BS097158,BS003012;BS003011,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,835.424,sec,RTIXKCRFFJGDFG-UHFFFAOYSA-N
BS547403,BS003731;BS003729;BS003728;BS003730,5281611,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O,478.2,sec,OBWHQJYOOCRPST-UHFFFAOYSA-N
