accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB6471471,LQB00619;LQB00233,138145394,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.373588,min,DNPOVULNVHWFEJ-GCLSJWDWSA-N,[M-H]-
LQB1291464,LQB00660;LQB00274,138147428,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,7.740366,min,DTYJSYMMNJFNCQ-WJFLDVDQSA-N,[M-H]-
LQB7281976,LQB00618;LQB00232,138147675,CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.960825,min,DUSJRMVOELGZGY-VKEQCKTBSA-N,[M-H]-
LQB8961219,LQB00264;LQB00650,138151504,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC,8.293467,min,FGLCTGHXZAQEIH-ZYKQNZMBSA-N,[M-H]-
LQB5896403,LQB00597;LQB00211,138151921,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC,9.799648,min,FHPKJOCRZAXOEW-ZYKQNZMBSA-N,[M-H]-
LQB0110403,LQB00329;LQB00715,138153806,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,8.33168,min,FNOBGXQUVKEMEE-JAXHXWBXSA-N,[M-H]-
LQB2302535,LQB00686;LQB00300,138154339,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.246706,min,FPHAZHKZJQOPBU-LGFBOSHVSA-N,[M-H]-
LQB7996843,LQB00343;LQB00729,138154510,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCC(C(=O)O)N,9.905784,min,FPXKHYLLOQURGZ-YQSYOFKPSA-N,[M-H]-
LQB5656417,LQB00685;LQB00684;LQB00299;LQB00298,138154651,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.082557,min,FQGSWQFJOVVRRB-LPHKCNJWSA-N,[M-H]-
LQB2745503,LQB00263;LQB00649,138155445,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.174149,min,FSVTVWTVWNNIQX-RQOIEFAZSA-N,[M-H]-
